Asset Type,Date,Usage Time,Last Maintenance Date,Stock Level,Reorder Point,Equipment Status,Usage Pattern
X-Ray Machine,6/23/2022,8,6/23/2022,5,3,Operational,As needed
Anesthesia Machine,6/23/2022,8,6/23/2022,5,3,Operational,As needed
Anesthesia Machine,6/24/2022,8,6/24/2022,5,3,Operational,As needed
X-Ray Machine,6/24/2022,8,6/24/2022,5,3,Operational,As needed
Surgical Gloves,6/24/2022,5,6/24/2022,2,3,Operational,As needed
Heart Monitor,6/24/2022,8,6/24/2022,5,3,Operational,As needed
PPE Kit,6/24/2022,6,6/24/2022,3,2,Operational,As needed
PPE Kit,6/25/2022,5,6/25/2022,2,2,Operational,As needed
Surgical Gloves,6/25/2022,4,6/25/2022,1,3,Operational,As needed
Heart Monitor,6/25/2022,8,6/25/2022,5,3,Operational,As needed
X-Ray Machine,6/25/2022,8,6/25/2022,5,3,Operational,As needed
Anesthesia Machine,6/25/2022,8,6/25/2022,5,3,Operational,As needed
PPE Kit,6/26/2022,10,6/26/2022,7,9,Operational,As needed
Surgical Gloves,6/26/2022,12,6/26/2022,9,9,Operational,As needed
Heart Monitor,6/26/2022,8,6/26/2022,5,3,Operational,As needed
X-Ray Machine,6/26/2022,8,6/26/2022,5,3,Operational,As needed
Anesthesia Machine,6/26/2022,8,6/26/2022,5,3,Operational,As needed
Anesthesia Machine,6/27/2022,8,6/27/2022,5,3,Operational,As needed
PPE Kit,6/27/2022,5,6/27/2022,2,8,Operational,As needed
Heart Monitor,6/27/2022,8,6/27/2022,5,3,Operational,As needed
Surgical Gloves,6/27/2022,12,6/27/2022,9,1,Operational,As needed
X-Ray Machine,6/27/2022,8,6/27/2022,5,3,Operational,As needed
PPE Kit,6/28/2022,7,6/28/2022,4,8,Operational,As needed
Surgical Gloves,6/28/2022,8,6/28/2022,5,9,Operational,As needed
Heart Monitor,6/28/2022,8,6/28/2022,5,3,Operational,As needed
X-Ray Machine,6/28/2022,8,6/28/2022,5,3,Operational,As needed
Anesthesia Machine,6/28/2022,8,6/28/2022,5,3,Operational,As needed
Anesthesia Machine,6/29/2022,8,6/29/2022,5,3,Operational,As needed
X-Ray Machine,6/29/2022,8,6/29/2022,5,3,Operational,As needed
Heart Monitor,6/29/2022,8,6/29/2022,5,3,Operational,As needed
PPE Kit,6/29/2022,11,6/29/2022,8,4,Operational,As needed
Surgical Gloves,6/29/2022,12,6/29/2022,9,6,Operational,As needed
PPE Kit,6/30/2022,9,6/30/2022,6,8,Operational,As needed
Surgical Gloves,6/30/2022,10,6/30/2022,7,8,Operational,As needed
Heart Monitor,6/30/2022,8,6/30/2022,5,3,Operational,As needed
X-Ray Machine,6/30/2022,8,6/30/2022,5,3,Operational,As needed
Anesthesia Machine,6/30/2022,8,6/30/2022,5,3,Operational,As needed
PPE Kit,07-01-2022,8,07-01-2022,5,2,Operational,As needed
Surgical Gloves,07-01-2022,4,07-01-2022,1,7,Operational,As needed
Heart Monitor,07-01-2022,8,07-01-2022,5,3,Operational,As needed
X-Ray Machine,07-01-2022,8,07-01-2022,5,3,Operational,As needed
Anesthesia Machine,07-01-2022,8,07-01-2022,5,3,Operational,As needed
Anesthesia Machine,07-02-2022,8,07-02-2022,5,3,Operational,As needed
Heart Monitor,07-02-2022,8,07-02-2022,5,3,Operational,As needed
Surgical Gloves,07-02-2022,5,07-02-2022,2,3,Operational,As needed
PPE Kit,07-02-2022,11,07-02-2022,8,5,Operational,As needed
X-Ray Machine,07-02-2022,8,07-02-2022,5,3,Operational,As needed
Heart Monitor,07-03-2022,8,07-03-2022,5,3,Operational,As needed
X-Ray Machine,07-03-2022,8,07-03-2022,5,3,Operational,As needed
Anesthesia Machine,07-03-2022,8,07-03-2022,5,3,Operational,As needed
PPE Kit,07-03-2022,8,07-03-2022,5,8,Operational,As needed
Surgical Gloves,07-03-2022,6,07-03-2022,3,9,Operational,As needed
PPE Kit,07-04-2022,11,07-04-2022,8,8,Operational,As needed
Surgical Gloves,07-04-2022,7,07-04-2022,4,5,Operational,As needed
Heart Monitor,07-04-2022,8,07-04-2022,5,3,Operational,As needed
X-Ray Machine,07-04-2022,8,07-04-2022,5,3,Operational,As needed
Anesthesia Machine,07-04-2022,8,07-04-2022,5,3,Operational,As needed
Anesthesia Machine,07-05-2022,8,07-05-2022,5,3,Operational,As needed
Heart Monitor,07-05-2022,8,07-05-2022,5,3,Operational,As needed
Surgical Gloves,07-05-2022,11,07-05-2022,8,5,Operational,As needed
X-Ray Machine,07-05-2022,8,07-05-2022,5,3,Operational,As needed
PPE Kit,07-05-2022,9,07-05-2022,6,1,Operational,As needed
PPE Kit,07-06-2022,10,07-06-2022,7,2,Operational,As needed
Surgical Gloves,07-06-2022,12,07-06-2022,9,8,Operational,As needed
Heart Monitor,07-06-2022,8,07-06-2022,5,3,Operational,As needed
X-Ray Machine,07-06-2022,8,07-06-2022,5,3,Operational,As needed
Anesthesia Machine,07-06-2022,8,07-06-2022,5,3,Operational,As needed
Anesthesia Machine,07-07-2022,8,07-07-2022,5,3,Operational,As needed
X-Ray Machine,07-07-2022,8,07-07-2022,5,3,Operational,As needed
Surgical Gloves,07-07-2022,12,07-07-2022,9,9,Operational,As needed
Heart Monitor,07-07-2022,8,07-07-2022,5,3,Operational,As needed
PPE Kit,07-07-2022,8,07-07-2022,5,4,Operational,As needed
PPE Kit,07-08-2022,4,07-08-2022,1,3,Operational,As needed
Surgical Gloves,07-08-2022,9,07-08-2022,6,4,Operational,As needed
Heart Monitor,07-08-2022,8,07-08-2022,5,3,Operational,As needed
X-Ray Machine,07-08-2022,8,07-08-2022,5,3,Operational,As needed
Anesthesia Machine,07-08-2022,8,07-08-2022,5,3,Operational,As needed
PPE Kit,07-09-2022,5,07-09-2022,2,4,Operational,As needed
Surgical Gloves,07-09-2022,11,07-09-2022,8,2,Operational,As needed
Heart Monitor,07-09-2022,8,07-09-2022,5,3,Operational,As needed
X-Ray Machine,07-09-2022,8,07-09-2022,5,3,Operational,As needed
Anesthesia Machine,07-09-2022,8,07-09-2022,5,3,Operational,As needed
Anesthesia Machine,07-10-2022,8,07-10-2022,5,3,Operational,As needed
PPE Kit,07-10-2022,4,07-10-2022,1,2,Operational,As needed
Heart Monitor,07-10-2022,8,07-10-2022,5,3,Operational,As needed
Surgical Gloves,07-10-2022,11,07-10-2022,8,1,Operational,As needed
X-Ray Machine,07-10-2022,8,07-10-2022,5,3,Operational,As needed
PPE Kit,07-11-2022,10,07-11-2022,7,5,Operational,As needed
Surgical Gloves,07-11-2022,12,07-11-2022,9,4,Operational,As needed
Heart Monitor,07-11-2022,8,07-11-2022,5,3,Operational,As needed
X-Ray Machine,07-11-2022,8,07-11-2022,5,3,Operational,As needed
Anesthesia Machine,07-11-2022,8,07-11-2022,5,3,Operational,As needed
Anesthesia Machine,07-12-2022,8,07-12-2022,5,3,Operational,As needed
Surgical Gloves,07-12-2022,11,07-12-2022,8,9,Operational,As needed
Heart Monitor,07-12-2022,8,07-12-2022,5,3,Operational,As needed
PPE Kit,07-12-2022,8,07-12-2022,5,7,Operational,As needed
X-Ray Machine,07-12-2022,8,07-12-2022,5,3,Operational,As needed
X-Ray Machine,7/13/2022,8,7/13/2022,5,3,Operational,As needed
Anesthesia Machine,7/13/2022,8,7/13/2022,5,3,Operational,As needed
Surgical Gloves,7/13/2022,4,7/13/2022,1,3,Operational,As needed
PPE Kit,7/13/2022,11,7/13/2022,8,3,Operational,As needed
Heart Monitor,7/13/2022,8,7/13/2022,5,3,Operational,As needed
PPE Kit,7/14/2022,7,7/14/2022,4,8,Operational,As needed
Surgical Gloves,7/14/2022,8,7/14/2022,5,2,Operational,As needed
Heart Monitor,7/14/2022,8,7/14/2022,5,3,Operational,As needed
X-Ray Machine,7/14/2022,8,7/14/2022,5,3,Operational,As needed
Anesthesia Machine,7/14/2022,8,7/14/2022,5,3,Operational,As needed
PPE Kit,7/15/2022,5,7/15/2022,2,8,Operational,As needed
Surgical Gloves,7/15/2022,11,7/15/2022,8,6,Operational,As needed
Heart Monitor,7/15/2022,8,7/15/2022,5,3,Operational,As needed
X-Ray Machine,7/15/2022,8,7/15/2022,5,3,Operational,As needed
Anesthesia Machine,7/15/2022,8,7/15/2022,5,3,Operational,As needed
X-Ray Machine,7/16/2022,8,7/16/2022,5,3,Operational,As needed
Anesthesia Machine,7/16/2022,8,7/16/2022,5,3,Operational,As needed
PPE Kit,7/16/2022,12,7/16/2022,9,1,Operational,As needed
Surgical Gloves,7/16/2022,7,7/16/2022,4,2,Operational,As needed
Heart Monitor,7/16/2022,8,7/16/2022,5,3,Operational,As needed
PPE Kit,7/17/2022,5,7/17/2022,2,2,Operational,As needed
Surgical Gloves,7/17/2022,7,7/17/2022,4,4,Operational,As needed
Heart Monitor,7/17/2022,8,7/17/2022,5,3,Operational,As needed
X-Ray Machine,7/17/2022,8,7/17/2022,5,3,Operational,As needed
Anesthesia Machine,7/17/2022,8,7/17/2022,5,3,Operational,As needed
X-Ray Machine,7/18/2022,8,7/18/2022,5,3,Operational,As needed
Anesthesia Machine,7/18/2022,8,7/18/2022,5,3,Operational,As needed
Surgical Gloves,7/18/2022,8,7/18/2022,5,8,Operational,As needed
PPE Kit,7/18/2022,4,7/18/2022,1,5,Operational,As needed
Heart Monitor,7/18/2022,8,7/18/2022,5,3,Operational,As needed
Anesthesia Machine,7/19/2022,8,7/19/2022,5,3,Operational,As needed
Surgical Gloves,7/19/2022,6,7/19/2022,3,9,Operational,As needed
Heart Monitor,7/19/2022,8,7/19/2022,5,3,Operational,As needed
X-Ray Machine,7/19/2022,8,7/19/2022,5,3,Operational,As needed
PPE Kit,7/19/2022,10,7/19/2022,7,1,Operational,As needed
PPE Kit,7/20/2022,5,7/20/2022,2,6,Operational,As needed
Surgical Gloves,7/20/2022,10,7/20/2022,7,4,Operational,As needed
Heart Monitor,7/20/2022,8,7/20/2022,5,3,Operational,As needed
X-Ray Machine,7/20/2022,8,7/20/2022,5,3,Operational,As needed
Anesthesia Machine,7/20/2022,8,7/20/2022,5,3,Operational,As needed
PPE Kit,7/21/2022,12,7/21/2022,9,5,Operational,As needed
Surgical Gloves,7/21/2022,12,7/21/2022,9,8,Operational,As needed
Heart Monitor,7/21/2022,8,7/21/2022,5,3,Operational,As needed
X-Ray Machine,7/21/2022,8,7/21/2022,5,3,Operational,As needed
Anesthesia Machine,7/21/2022,8,7/21/2022,5,3,Operational,As needed
Anesthesia Machine,7/22/2022,8,7/22/2022,5,3,Operational,As needed
X-Ray Machine,7/22/2022,8,7/22/2022,5,3,Operational,As needed
Surgical Gloves,7/22/2022,7,7/22/2022,4,2,Operational,As needed
PPE Kit,7/22/2022,9,7/22/2022,6,6,Operational,As needed
Heart Monitor,7/22/2022,8,7/22/2022,5,3,Operational,As needed
PPE Kit,7/23/2022,10,7/23/2022,7,8,Operational,As needed
Surgical Gloves,7/23/2022,11,7/23/2022,8,1,Operational,As needed
Heart Monitor,7/23/2022,8,7/23/2022,5,3,Operational,As needed
X-Ray Machine,7/23/2022,8,7/23/2022,5,3,Operational,As needed
Anesthesia Machine,7/23/2022,8,7/23/2022,5,3,Operational,As needed
PPE Kit,7/24/2022,9,7/24/2022,6,1,Operational,As needed
Surgical Gloves,7/24/2022,12,7/24/2022,9,4,Operational,As needed
Heart Monitor,7/24/2022,8,7/24/2022,5,3,Operational,As needed
X-Ray Machine,7/24/2022,8,7/24/2022,5,3,Operational,As needed
Anesthesia Machine,7/24/2022,8,7/24/2022,5,3,Operational,As needed
PPE Kit,7/25/2022,11,7/25/2022,8,3,Operational,As needed
Surgical Gloves,7/25/2022,9,7/25/2022,6,5,Operational,As needed
Heart Monitor,7/25/2022,8,7/25/2022,5,3,Operational,As needed
X-Ray Machine,7/25/2022,8,7/25/2022,5,3,Operational,As needed
Anesthesia Machine,7/25/2022,8,7/25/2022,5,3,Operational,As needed
PPE Kit,7/26/2022,9,7/26/2022,6,9,Operational,As needed
Surgical Gloves,7/26/2022,10,7/26/2022,7,8,Operational,As needed
Heart Monitor,7/26/2022,8,7/26/2022,5,3,Operational,As needed
X-Ray Machine,7/26/2022,8,7/26/2022,5,3,Operational,As needed
Anesthesia Machine,7/26/2022,8,7/26/2022,5,3,Operational,As needed
Anesthesia Machine,7/27/2022,8,7/27/2022,5,3,Operational,As needed
Surgical Gloves,7/27/2022,5,7/27/2022,2,3,Operational,As needed
Heart Monitor,7/27/2022,8,7/27/2022,5,3,Operational,As needed
X-Ray Machine,7/27/2022,8,7/27/2022,5,3,Operational,As needed
PPE Kit,7/27/2022,6,7/27/2022,3,5,Operational,As needed
Heart Monitor,7/28/2022,8,7/28/2022,5,3,Operational,As needed
PPE Kit,7/28/2022,11,7/28/2022,8,8,Operational,As needed
Surgical Gloves,7/28/2022,8,7/28/2022,5,1,Operational,As needed
Anesthesia Machine,7/28/2022,8,7/28/2022,5,3,Operational,As needed
X-Ray Machine,7/28/2022,8,7/28/2022,5,3,Operational,As needed
PPE Kit,7/29/2022,11,7/29/2022,8,2,Operational,As needed
Surgical Gloves,7/29/2022,4,7/29/2022,1,1,Operational,As needed
Heart Monitor,7/29/2022,8,7/29/2022,5,3,Operational,As needed
X-Ray Machine,7/29/2022,8,7/29/2022,5,3,Operational,As needed
Anesthesia Machine,7/29/2022,8,7/29/2022,5,3,Operational,As needed
Anesthesia Machine,7/30/2022,8,7/30/2022,5,3,Operational,As needed
X-Ray Machine,7/30/2022,8,7/30/2022,5,3,Operational,As needed
Surgical Gloves,7/30/2022,8,7/30/2022,5,2,Operational,As needed
PPE Kit,7/30/2022,6,7/30/2022,3,7,Operational,As needed
Heart Monitor,7/30/2022,8,7/30/2022,5,3,Operational,As needed
PPE Kit,7/31/2022,11,7/31/2022,8,5,Operational,As needed
Surgical Gloves,7/31/2022,6,7/31/2022,3,8,Operational,As needed
Heart Monitor,7/31/2022,8,7/31/2022,5,3,Operational,As needed
X-Ray Machine,7/31/2022,8,7/31/2022,5,3,Operational,As needed
Anesthesia Machine,7/31/2022,8,7/31/2022,5,3,Operational,As needed
X-Ray Machine,08-01-2022,8,08-01-2022,5,3,Operational,As needed
Anesthesia Machine,08-01-2022,8,08-01-2022,5,3,Operational,As needed
Surgical Gloves,08-01-2022,12,08-01-2022,9,6,Operational,As needed
PPE Kit,08-01-2022,11,08-01-2022,8,7,Operational,As needed
Heart Monitor,08-01-2022,8,08-01-2022,5,3,Operational,As needed
Anesthesia Machine,08-02-2022,8,08-02-2022,5,3,Operational,As needed
PPE Kit,08-02-2022,5,08-02-2022,2,9,Operational,As needed
Heart Monitor,08-02-2022,8,08-02-2022,5,3,Operational,As needed
Surgical Gloves,08-02-2022,5,08-02-2022,2,1,Operational,As needed
X-Ray Machine,08-02-2022,8,08-02-2022,5,3,Operational,As needed
PPE Kit,08-03-2022,6,08-03-2022,3,8,Operational,As needed
Surgical Gloves,08-03-2022,4,08-03-2022,1,6,Operational,As needed
Heart Monitor,08-03-2022,8,08-03-2022,5,3,Operational,As needed
X-Ray Machine,08-03-2022,8,08-03-2022,5,3,Operational,As needed
Anesthesia Machine,08-03-2022,8,08-03-2022,5,3,Operational,As needed
Anesthesia Machine,08-04-2022,8,08-04-2022,5,3,Operational,As needed
Heart Monitor,08-04-2022,8,08-04-2022,5,3,Operational,As needed
Surgical Gloves,08-04-2022,4,08-04-2022,1,2,Operational,As needed
X-Ray Machine,08-04-2022,8,08-04-2022,5,3,Operational,As needed
PPE Kit,08-04-2022,8,08-04-2022,5,3,Operational,As needed
PPE Kit,08-05-2022,7,08-05-2022,4,7,Operational,As needed
Surgical Gloves,08-05-2022,12,08-05-2022,9,3,Operational,As needed
Heart Monitor,08-05-2022,8,08-05-2022,5,3,Operational,As needed
X-Ray Machine,08-05-2022,8,08-05-2022,5,3,Operational,As needed
Anesthesia Machine,08-05-2022,8,08-05-2022,5,3,Operational,As needed
Anesthesia Machine,08-06-2022,8,08-06-2022,5,3,Operational,As needed
X-Ray Machine,08-06-2022,8,08-06-2022,5,3,Operational,As needed
PPE Kit,08-06-2022,10,08-06-2022,7,4,Operational,As needed
Heart Monitor,08-06-2022,8,08-06-2022,5,3,Operational,As needed
Surgical Gloves,08-06-2022,5,08-06-2022,2,9,Operational,As needed
Surgical Gloves,08-07-2022,9,08-07-2022,6,1,Operational,As needed
Heart Monitor,08-07-2022,8,08-07-2022,5,3,Operational,As needed
X-Ray Machine,08-07-2022,8,08-07-2022,5,3,Operational,As needed
Anesthesia Machine,08-07-2022,8,08-07-2022,5,3,Operational,As needed
PPE Kit,08-07-2022,7,08-07-2022,4,6,Operational,As needed
PPE Kit,08-08-2022,5,08-08-2022,2,3,Operational,As needed
Surgical Gloves,08-08-2022,11,08-08-2022,8,4,Operational,As needed
Heart Monitor,08-08-2022,8,08-08-2022,5,3,Operational,As needed
X-Ray Machine,08-08-2022,8,08-08-2022,5,3,Operational,As needed
Anesthesia Machine,08-08-2022,8,08-08-2022,5,3,Operational,As needed
Anesthesia Machine,08-09-2022,8,08-09-2022,5,3,Operational,As needed
Surgical Gloves,08-09-2022,10,08-09-2022,7,5,Operational,As needed
Heart Monitor,08-09-2022,8,08-09-2022,5,3,Operational,As needed
X-Ray Machine,08-09-2022,8,08-09-2022,5,3,Operational,As needed
PPE Kit,08-09-2022,5,08-09-2022,2,3,Operational,As needed
PPE Kit,08-10-2022,9,08-10-2022,6,3,Operational,As needed
Surgical Gloves,08-10-2022,8,08-10-2022,5,5,Operational,As needed
Heart Monitor,08-10-2022,8,08-10-2022,5,3,Operational,As needed
X-Ray Machine,08-10-2022,8,08-10-2022,5,3,Operational,As needed
Anesthesia Machine,08-10-2022,8,08-10-2022,5,3,Operational,As needed
Anesthesia Machine,08-11-2022,8,08-11-2022,5,3,Operational,As needed
Heart Monitor,08-11-2022,8,08-11-2022,5,3,Operational,As needed
Surgical Gloves,08-11-2022,6,08-11-2022,3,9,Operational,As needed
X-Ray Machine,08-11-2022,8,08-11-2022,5,3,Operational,As needed
PPE Kit,08-11-2022,7,08-11-2022,4,2,Operational,As needed
PPE Kit,08-12-2022,12,08-12-2022,9,5,Operational,As needed
Surgical Gloves,08-12-2022,7,08-12-2022,4,7,Operational,As needed
Heart Monitor,08-12-2022,8,08-12-2022,5,3,Operational,As needed
X-Ray Machine,08-12-2022,8,08-12-2022,5,3,Operational,As needed
Anesthesia Machine,08-12-2022,8,08-12-2022,5,3,Operational,As needed
PPE Kit,8/13/2022,10,8/13/2022,7,4,Operational,As needed
Surgical Gloves,8/13/2022,10,8/13/2022,7,6,Operational,As needed
Heart Monitor,8/13/2022,8,8/13/2022,5,3,Operational,As needed
X-Ray Machine,8/13/2022,8,8/13/2022,5,3,Operational,As needed
Anesthesia Machine,8/13/2022,8,8/13/2022,5,3,Operational,As needed
Anesthesia Machine,8/14/2022,8,8/14/2022,5,3,Operational,As needed
PPE Kit,8/14/2022,11,8/14/2022,8,2,Operational,As needed
Heart Monitor,8/14/2022,8,8/14/2022,5,3,Operational,As needed
Surgical Gloves,8/14/2022,6,8/14/2022,3,5,Operational,As needed
X-Ray Machine,8/14/2022,8,8/14/2022,5,3,Operational,As needed
PPE Kit,8/15/2022,11,8/15/2022,8,4,Operational,As needed
Surgical Gloves,8/15/2022,6,8/15/2022,3,7,Operational,As needed
Heart Monitor,8/15/2022,8,8/15/2022,5,3,Operational,As needed
X-Ray Machine,8/15/2022,8,8/15/2022,5,3,Operational,As needed
Anesthesia Machine,8/15/2022,8,8/15/2022,5,3,Operational,As needed
Anesthesia Machine,8/16/2022,8,8/16/2022,5,3,Operational,As needed
X-Ray Machine,8/16/2022,8,8/16/2022,5,3,Operational,As needed
Surgical Gloves,8/16/2022,8,8/16/2022,5,1,Operational,As needed
PPE Kit,8/16/2022,8,8/16/2022,5,5,Operational,As needed
Heart Monitor,8/16/2022,8,8/16/2022,5,3,Operational,As needed
PPE Kit,8/17/2022,10,8/17/2022,7,3,Operational,As needed
Surgical Gloves,8/17/2022,5,8/17/2022,2,1,Operational,As needed
Heart Monitor,8/17/2022,8,8/17/2022,5,3,Operational,As needed
X-Ray Machine,8/17/2022,8,8/17/2022,5,3,Operational,As needed
Anesthesia Machine,8/17/2022,8,8/17/2022,5,3,Operational,As needed
Anesthesia Machine,8/18/2022,8,8/18/2022,5,3,Operational,As needed
PPE Kit,8/18/2022,7,8/18/2022,4,6,Operational,As needed
Heart Monitor,8/18/2022,8,8/18/2022,5,3,Operational,As needed
Surgical Gloves,8/18/2022,12,8/18/2022,9,2,Operational,As needed
X-Ray Machine,8/18/2022,8,8/18/2022,5,3,Operational,As needed
Heart Monitor,8/19/2022,8,8/19/2022,5,3,Operational,As needed
X-Ray Machine,8/19/2022,8,8/19/2022,5,3,Operational,As needed
Anesthesia Machine,8/19/2022,8,8/19/2022,5,3,Operational,As needed
PPE Kit,8/19/2022,5,8/19/2022,2,8,Operational,As needed
Surgical Gloves,8/19/2022,8,8/19/2022,5,6,Operational,As needed
PPE Kit,8/20/2022,9,8/20/2022,6,7,Operational,As needed
Surgical Gloves,8/20/2022,11,8/20/2022,8,4,Operational,As needed
Heart Monitor,8/20/2022,8,8/20/2022,5,3,Operational,As needed
X-Ray Machine,8/20/2022,8,8/20/2022,5,3,Operational,As needed
Anesthesia Machine,8/20/2022,8,8/20/2022,5,3,Operational,As needed
Anesthesia Machine,8/21/2022,8,8/21/2022,5,3,Operational,As needed
Heart Monitor,8/21/2022,8,8/21/2022,5,3,Operational,As needed
Surgical Gloves,8/21/2022,4,8/21/2022,1,6,Operational,As needed
X-Ray Machine,8/21/2022,8,8/21/2022,5,3,Operational,As needed
PPE Kit,8/21/2022,10,8/21/2022,7,7,Operational,As needed
PPE Kit,8/22/2022,4,8/22/2022,1,6,Operational,As needed
Surgical Gloves,8/22/2022,12,8/22/2022,9,3,Operational,As needed
Heart Monitor,8/22/2022,8,8/22/2022,5,3,Operational,As needed
X-Ray Machine,8/22/2022,8,8/22/2022,5,3,Operational,As needed
Anesthesia Machine,8/22/2022,8,8/22/2022,5,3,Operational,As needed
Anesthesia Machine,8/23/2022,8,8/23/2022,5,3,Operational,As needed
X-Ray Machine,8/23/2022,8,8/23/2022,5,3,Operational,As needed
Surgical Gloves,8/23/2022,6,8/23/2022,3,9,Operational,As needed
Heart Monitor,8/23/2022,8,8/23/2022,5,3,Operational,As needed
PPE Kit,8/23/2022,11,8/23/2022,8,3,Operational,As needed
PPE Kit,8/24/2022,8,8/24/2022,5,4,Operational,As needed
Surgical Gloves,8/24/2022,8,8/24/2022,5,6,Operational,As needed
Heart Monitor,8/24/2022,8,8/24/2022,5,3,Operational,As needed
X-Ray Machine,8/24/2022,8,8/24/2022,5,3,Operational,As needed
Anesthesia Machine,8/24/2022,8,8/24/2022,5,3,Operational,As needed
PPE Kit,8/25/2022,10,8/25/2022,7,3,Operational,As needed
Surgical Gloves,8/25/2022,9,8/25/2022,6,8,Operational,As needed
Heart Monitor,8/25/2022,8,8/25/2022,5,3,Operational,As needed
X-Ray Machine,8/25/2022,8,8/25/2022,5,3,Operational,As needed
Anesthesia Machine,8/25/2022,8,8/25/2022,5,3,Operational,As needed
Anesthesia Machine,8/26/2022,8,8/26/2022,5,3,Operational,As needed
PPE Kit,8/26/2022,8,8/26/2022,5,4,Operational,As needed
Heart Monitor,8/26/2022,8,8/26/2022,5,3,Operational,As needed
Surgical Gloves,8/26/2022,9,8/26/2022,6,2,Operational,As needed
X-Ray Machine,8/26/2022,8,8/26/2022,5,3,Operational,As needed
PPE Kit,8/27/2022,11,8/27/2022,8,8,Operational,As needed
Surgical Gloves,8/27/2022,12,8/27/2022,9,4,Operational,As needed
Heart Monitor,8/27/2022,8,8/27/2022,5,3,Operational,As needed
X-Ray Machine,8/27/2022,8,8/27/2022,5,3,Operational,As needed
Anesthesia Machine,8/27/2022,8,8/27/2022,5,3,Operational,As needed
Anesthesia Machine,8/28/2022,8,8/28/2022,5,3,Operational,As needed
PPE Kit,8/28/2022,5,8/28/2022,2,2,Operational,As needed
Heart Monitor,8/28/2022,8,8/28/2022,5,3,Operational,As needed
Surgical Gloves,8/28/2022,4,8/28/2022,1,4,Operational,As needed
X-Ray Machine,8/28/2022,8,8/28/2022,5,3,Operational,As needed
Anesthesia Machine,8/29/2022,8,8/29/2022,5,3,Operational,As needed
PPE Kit,8/29/2022,12,8/29/2022,9,8,Operational,As needed
Heart Monitor,8/29/2022,8,8/29/2022,5,3,Operational,As needed
Surgical Gloves,8/29/2022,12,8/29/2022,9,4,Operational,As needed
X-Ray Machine,8/29/2022,8,8/29/2022,5,3,Operational,As needed
Heart Monitor,8/30/2022,8,8/30/2022,5,3,Operational,As needed
X-Ray Machine,8/30/2022,8,8/30/2022,5,3,Operational,As needed
Anesthesia Machine,8/30/2022,8,8/30/2022,5,3,Operational,As needed
PPE Kit,8/30/2022,8,8/30/2022,5,1,Operational,As needed
Surgical Gloves,8/30/2022,11,8/30/2022,8,1,Operational,As needed
PPE Kit,8/31/2022,9,8/31/2022,6,8,Operational,As needed
Surgical Gloves,8/31/2022,9,8/31/2022,6,6,Operational,As needed
Heart Monitor,8/31/2022,8,8/31/2022,5,3,Operational,As needed
X-Ray Machine,8/31/2022,8,8/31/2022,5,3,Operational,As needed
Anesthesia Machine,8/31/2022,8,8/31/2022,5,3,Operational,As needed
Anesthesia Machine,09-01-2022,8,09-01-2022,5,3,Operational,As needed
Heart Monitor,09-01-2022,8,09-01-2022,5,3,Operational,As needed
Surgical Gloves,09-01-2022,8,09-01-2022,5,4,Operational,As needed
X-Ray Machine,09-01-2022,8,09-01-2022,5,3,Operational,As needed
PPE Kit,09-01-2022,5,09-01-2022,2,5,Operational,As needed
PPE Kit,09-02-2022,6,09-02-2022,3,6,Operational,As needed
Surgical Gloves,09-02-2022,4,09-02-2022,1,9,Operational,As needed
Heart Monitor,09-02-2022,8,09-02-2022,5,3,Operational,As needed
X-Ray Machine,09-02-2022,8,09-02-2022,5,3,Operational,As needed
Anesthesia Machine,09-02-2022,8,09-02-2022,5,3,Operational,As needed
Anesthesia Machine,09-03-2022,8,09-03-2022,5,3,Operational,As needed
Heart Monitor,09-03-2022,8,09-03-2022,5,3,Operational,As needed
Surgical Gloves,09-03-2022,9,09-03-2022,6,9,Operational,As needed
X-Ray Machine,09-03-2022,8,09-03-2022,5,3,Operational,As needed
PPE Kit,09-03-2022,6,09-03-2022,3,7,Operational,As needed
Heart Monitor,09-04-2022,8,09-04-2022,5,3,Operational,As needed
X-Ray Machine,09-04-2022,8,09-04-2022,5,3,Operational,As needed
Anesthesia Machine,09-04-2022,8,09-04-2022,5,3,Operational,As needed
PPE Kit,09-04-2022,7,09-04-2022,4,3,Operational,As needed
Surgical Gloves,09-04-2022,12,09-04-2022,9,2,Operational,As needed
PPE Kit,09-05-2022,12,09-05-2022,9,7,Operational,As needed
Surgical Gloves,09-05-2022,7,09-05-2022,4,4,Operational,As needed
Heart Monitor,09-05-2022,8,09-05-2022,5,3,Operational,As needed
X-Ray Machine,09-05-2022,8,09-05-2022,5,3,Operational,As needed
Anesthesia Machine,09-05-2022,8,09-05-2022,5,3,Operational,As needed
Anesthesia Machine,09-06-2022,8,09-06-2022,5,3,Operational,As needed
Surgical Gloves,09-06-2022,11,09-06-2022,8,8,Operational,As needed
Heart Monitor,09-06-2022,8,09-06-2022,5,3,Operational,As needed
X-Ray Machine,09-06-2022,8,09-06-2022,5,3,Operational,As needed
PPE Kit,09-06-2022,7,09-06-2022,4,6,Operational,As needed
PPE Kit,09-07-2022,7,09-07-2022,4,2,Operational,As needed
Surgical Gloves,09-07-2022,10,09-07-2022,7,2,Operational,As needed
Heart Monitor,09-07-2022,8,09-07-2022,5,3,Operational,As needed
X-Ray Machine,09-07-2022,8,09-07-2022,5,3,Operational,As needed
